ncverilog: 15.20-s039: (c) Copyright 1995-2017 Cadence Design Systems, Inc.
TOOL:	ncverilog	15.20-s039: Started on Nov 06, 2022 at 19:15:33 CST
ncverilog
	Lab4_Team25_Scan_Chain_Design_t.v
	Lab4_Team25_Scan_Chain_Design.v
	+access+r
Loading snapshot worklib.Scan_Chain_Design_t:v .................... Done
*Verdi* Loading libsscore_ius152.so
ncsim> source /usr/cad/cadence/INCISIV/cur/tools/inca/files/ncsimrc
ncsim> run
rst_n: 0 | scan_in: 0 | scan_en: 0 | a:  x | b:  x | p:   x | sdff: xxxxxxxx
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 11 | b:  3 | p:  33 | sdff: 10110011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 13 | b:  9 | p: 117 | sdff: 11011001
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  6 | b: 12 | p:  72 | sdff: 01101100
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 11 | b:  6 | p:  66 | sdff: 10110110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 13 | b: 11 | p: 143 | sdff: 11011011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 14 | b: 13 | p: 182 | sdff: 11101101
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  7 | b:  6 | p:  42 | sdff: 01110110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 11 | b: 11 | p: 121 | sdff: 10111011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 13 | b: 13 | p: 169 | sdff: 11011101
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  6 | b: 14 | p:  84 | sdff: 01101110
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  3 | b:  7 | p:  21 | sdff: 00110111
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  1 | b: 11 | p:  11 | sdff: 00011011
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  0 | b: 13 | p:   0 | sdff: 00001101
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  8 | b:  6 | p:  48 | sdff: 10000110
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 12 | b:  3 | p:  36 | sdff: 11000011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  6 | b:  1 | p:   6 | sdff: 01100001
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  3 | b:  0 | p:   0 | sdff: 00110000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  9 | b:  8 | p:  72 | sdff: 10011000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 12 | b: 12 | p: 144 | sdff: 11001100
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 14 | b:  6 | p:  84 | sdff: 11100110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 15 | b:  3 | p:  45 | sdff: 11110011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 15 | b:  9 | p: 135 | sdff: 11111001
Simulation complete via $finish(1) at time 1030 NS + 0
./Lab4_Team25_Scan_Chain_Design_t.v:38         $finish;
ncsim> exit
TOOL:	ncverilog	15.20-s039: Exiting on Nov 06, 2022 at 19:15:36 CST  (total: 00:00:03)
